Time,Number EQs,Correlation,Correlation Stdev
1940.0,0,0.0,0.0
1940.07692,0,0.0,0.0
1940.15384,0,0.0,0.0
1940.23076,0,0.0,0.0
1940.30768,0,0.0,0.0
1940.3846,0,0.0,0.0
1940.46152,0,0.0,0.0
1940.53844,0,0.0,0.0
1940.61536,0,0.0,0.0
1940.69228,0,0.0,0.0
1940.7692,0,0.0,0.0
1940.84612,0,0.0,0.0
1940.92304,0,0.0,0.0
1940.99996,0,0.0,0.0
1941.07688,128,1.5489,1.6437
1941.1538,131,1.5403,1.6636
1941.23072,131,1.5372,1.6608
1941.30764,100,1.6308,1.5506
1941.38456,65,1.506,1.4012
1941.46148,71,1.304,0.946
1941.5384,63,1.3223,0.9991
1941.61532,65,1.2767,0.8808
1941.69224,73,1.2899,0.8708
1941.76916,69,1.2927,0.8114
1941.84608,70,1.2962,0.7514
1941.923,78,1.3181,0.7739
1941.99992,92,1.2963,0.7552
1942.07684,96,1.2788,0.7857
1942.15376,99,1.2649,0.745
1942.23068,101,1.2751,0.7626
1942.3076,101,1.2687,0.743
1942.38452,109,1.2359,0.7624
1942.46144,103,1.3266,1.0492
1942.53836,107,1.2749,1.0227
1942.61528,114,1.3767,1.1272
1942.6922,108,1.4678,1.1548
1942.76912,134,1.5376,1.3441
1942.84604,139,1.5264,1.3323
1942.92296,133,1.4896,1.3135
1942.99988,121,1.5054,1.3384
1943.0768,116,1.5124,1.3715
1943.15372,117,1.565,1.3916
1943.23064,119,1.5864,1.3975
1943.30756,123,1.5627,1.3884
1943.38448,117,1.6157,1.4239
1943.4614,109,1.5339,1.3791
1943.53832,105,1.5408,1.4136
1943.61524,99,1.5067,1.3922
1943.69216,96,1.4752,1.3897
1943.76908,80,1.4438,1.397
1943.846,74,1.4256,1.3771
1943.92292,70,1.4133,1.3665
1943.99984,67,1.4197,1.3703
1944.07676,66,1.4262,1.3754
1944.15368,60,1.3499,1.3604
1944.2306,55,1.3065,1.3602
1944.30752,51,1.2893,1.3505
1944.38444,71,1.2639,0.9652
1944.46136,73,1.2807,0.9179
1944.53828,80,1.2925,0.9228
1944.6152,78,1.2998,0.8865
1944.69212,79,1.3201,0.901
1944.76904,72,1.3295,0.7433
1944.84596,72,1.3211,0.6889
1944.92288,74,1.33,0.7127
1944.9998,78,1.3317,0.7316
1945.07672,78,1.3133,0.7207
1945.15364,80,1.3217,0.7458
1945.23056,88,1.3135,0.7494
1945.30748,88,1.3164,0.7596
1945.3844,66,1.4388,1.152
1945.46132,60,1.4744,1.2235
1945.53824,53,1.5458,1.2303
1945.61516,55,1.5246,1.2518
1945.69208,52,1.5663,1.3012
1945.769,41,1.571,1.2608
1945.84592,40,1.5027,1.1582
1945.92284,38,1.4488,1.1039
1945.99976,38,1.4612,1.1149
1946.07668,37,1.4515,1.2334
1946.1536,91,1.298,0.8356
1946.23052,86,1.2663,0.828
1946.30744,87,1.2647,0.8291
1946.38436,93,1.2597,0.8298
1946.46128,101,1.2677,0.8345
1946.5382,106,1.2676,0.8289
1946.61512,106,1.2633,0.821
1946.69204,106,1.2542,0.8219
1946.76896,107,1.2629,0.8226
1946.84588,106,1.2635,0.8268
1946.9228,108,1.2635,0.8268
1946.99972,106,1.2667,0.8234
1947.07664,107,1.2671,0.8244
1947.15356,53,1.2178,0.8413
1947.23048,93,1.7528,0.7009
1947.3074,95,1.7404,0.7066
1947.38432,92,1.6453,0.7588
1947.46124,87,1.5452,0.8001
1947.53816,111,1.3556,0.803
1947.61508,106,1.3398,0.8073
1947.692,106,1.3403,0.8075
1947.76892,105,1.3432,0.8055
1947.84584,105,1.3446,0.805
1947.92276,105,1.3421,0.802
1947.99968,107,1.3662,0.801
1948.0766,108,1.34,0.8056
1948.15352,109,1.2852,0.7952
1948.23044,67,1.2662,0.7968
1948.30736,66,1.2619,0.8139
1948.38428,67,1.2583,0.8383
1948.4612,68,1.2881,0.8799
1948.53812,40,1.4789,1.2973
1948.61504,40,1.4445,1.3455
1948.69196,42,1.4171,1.2859
